Entity,Code,Day,people_vaccinated
Arizona,,2021-01-12,95141
Arizona,,2021-01-13,104387
Arizona,,2021-01-14,157397
Arizona,,2021-01-15,176213
Arizona,,2021-01-19,235331
Arizona,,2021-01-20,246960
Arizona,,2021-01-21,262120
Arizona,,2021-01-22,280227
Arizona,,2021-01-23,305744
Arizona,,2021-01-24,332095
Arizona,,2021-01-25,350648
Arizona,,2021-01-26,366018
Arizona,,2021-01-27,389059
Arizona,,2021-01-28,412841
Arizona,,2021-01-29,439897
Arizona,,2021-01-30,469916
Arizona,,2021-01-31,500942
Arizona,,2021-02-01,524413
Arizona,,2021-02-02,534476
Arizona,,2021-02-03,553373
Arizona,,2021-02-04,573845
Arizona,,2021-02-05,597525
Arizona,,2021-02-06,629750
Arizona,,2021-02-07,656909
Arizona,,2021-02-08,678697
Arizona,,2021-02-09,695970
Arizona,,2021-02-10,719051
Arizona,,2021-02-11,747599
Arizona,,2021-02-12,780057
Arizona,,2021-02-13,811080
Arizona,,2021-02-14,840252
Arizona,,2021-02-16,886107
Arizona,,2021-02-17,892791
Arizona,,2021-02-18,914468
Arizona,,2021-02-19,1036237
Arizona,,2021-02-20,1064109
Arizona,,2021-02-21,1087921
Arizona,,2021-02-22,1083205
Arizona,,2021-02-23,1095494
Arizona,,2021-02-24,1110854
Arizona,,2021-02-25,1136024
Arizona,,2021-02-26,1168054
Arizona,,2021-02-27,1195110
Arizona,,2021-02-28,1220706
Arizona,,2021-03-01,1244879
Arizona,,2021-03-02,1262868
Arizona,,2021-03-03,1277294
Arizona,,2021-03-04,1298827
Arizona,,2021-03-05,1325003
Arizona,,2021-03-06,1328642
Arizona,,2021-03-07,1388900
Arizona,,2021-03-08,1416598
Arizona,,2021-03-09,1435152
Arizona,,2021-03-10,1464494
Arizona,,2021-03-11,1496266
Arizona,,2021-03-12,1529482
Arizona,,2021-03-13,1562876
Arizona,,2021-03-14,1602626
Arizona,,2021-03-15,1629972
Arizona,,2021-03-16,1655300
Arizona,,2021-03-17,1682456
Arizona,,2021-03-18,1716937
Arizona,,2021-03-19,1720172
Arizona,,2021-03-20,1762337
Arizona,,2021-03-21,1804760
Arizona,,2021-03-22,1835039
Arizona,,2021-03-23,1851810
Arizona,,2021-03-24,1877865
Arizona,,2021-03-25,1940953
Arizona,,2021-03-26,1983569
Arizona,,2021-03-27,2030110
Arizona,,2021-03-28,2072778
Arizona,,2021-03-29,2105116
Arizona,,2021-03-30,2125696
Arizona,,2021-03-31,2157694
Arizona,,2021-04-01,2194105
Arizona,,2021-04-02,2235527
Arizona,,2021-04-03,2276832
Arizona,,2021-04-04,2312278
Arizona,,2021-04-05,2338969
Arizona,,2021-04-06,2353075
Arizona,,2021-04-07,2378505
Arizona,,2021-04-08,2412162
Arizona,,2021-04-09,2452911
Arizona,,2021-04-10,2494850
Arizona,,2021-04-11,2533121
Arizona,,2021-04-12,2558747
Arizona,,2021-04-13,2579710
Arizona,,2021-04-14,2604648
Arizona,,2021-04-15,2635334
Arizona,,2021-04-16,2663248
Arizona,,2021-04-17,2696688
Arizona,,2021-04-18,2725197
Arizona,,2021-04-19,2744596
Arizona,,2021-04-20,2758177
Arizona,,2021-04-21,2780137
Arizona,,2021-04-22,2805338
Arizona,,2021-04-23,2832476
Arizona,,2021-04-24,2859184
Arizona,,2021-04-25,2884396
Arizona,,2021-04-26,2900707
Arizona,,2021-04-27,2911060
Arizona,,2021-04-28,2926506
Arizona,,2021-04-29,2943500
Arizona,,2021-04-30,2960823
Arizona,,2021-05-01,2981885
Arizona,,2021-05-02,2997499
Arizona,,2021-05-03,3004111
Arizona,,2021-05-04,3009821
Arizona,,2021-05-05,3019286
Arizona,,2021-05-06,3037050
Arizona,,2021-05-07,3053333
Arizona,,2021-05-08,3065521
Arizona,,2021-05-09,3077983
Arizona,,2021-05-10,3096670
Arizona,,2021-05-11,3116726
Arizona,,2021-05-12,3124285
Arizona,,2021-05-13,3133742
Arizona,,2021-05-14,3142269
Arizona,,2021-05-15,3157721
Arizona,,2021-05-16,3177747
Arizona,,2021-05-17,3188365
Arizona,,2021-05-18,3197814
Arizona,,2021-05-19,3212922
Arizona,,2021-05-20,3225461
Arizona,,2021-05-21,3240593
Arkansas,,2021-01-12,39357
Arkansas,,2021-01-13,80458
Arkansas,,2021-01-14,90339
Arkansas,,2021-01-15,97829
Arkansas,,2021-01-19,118763
Arkansas,,2021-01-20,144792
Arkansas,,2021-01-21,144792
Arkansas,,2021-01-22,167788
Arkansas,,2021-01-23,167788
Arkansas,,2021-01-24,179290
Arkansas,,2021-01-25,185546
Arkansas,,2021-01-26,196815
Arkansas,,2021-01-27,209445
Arkansas,,2021-01-28,209445
Arkansas,,2021-01-29,221552
Arkansas,,2021-01-30,233935
Arkansas,,2021-01-31,244867
Arkansas,,2021-02-01,249943
Arkansas,,2021-02-02,251841
Arkansas,,2021-02-03,256307
Arkansas,,2021-02-04,266563
Arkansas,,2021-02-05,274459
Arkansas,,2021-02-06,290153
Arkansas,,2021-02-07,300139
Arkansas,,2021-02-08,304604
Arkansas,,2021-02-09,305917
Arkansas,,2021-02-10,311339
Arkansas,,2021-02-11,316972
Arkansas,,2021-02-12,325562
Arkansas,,2021-02-13,330146
Arkansas,,2021-02-14,338611
Arkansas,,2021-02-16,343637
Arkansas,,2021-02-17,345271
Arkansas,,2021-02-18,346623
Arkansas,,2021-02-19,362972
Arkansas,,2021-02-20,364735
Arkansas,,2021-02-21,367436
Arkansas,,2021-02-22,371148
Arkansas,,2021-02-23,373476
Arkansas,,2021-02-24,378928
Arkansas,,2021-02-25,385351
Arkansas,,2021-02-26,394906
Arkansas,,2021-02-27,405877
Arkansas,,2021-02-28,419502
Arkansas,,2021-03-01,425567
Arkansas,,2021-03-02,431866
Arkansas,,2021-03-03,442371
Arkansas,,2021-03-04,452615
Arkansas,,2021-03-05,464641
Arkansas,,2021-03-06,477127
Arkansas,,2021-03-07,489149
Arkansas,,2021-03-08,494761
Arkansas,,2021-03-09,501653
Arkansas,,2021-03-10,513591
Arkansas,,2021-03-11,514556
Arkansas,,2021-03-12,541936
Arkansas,,2021-03-13,579022
Arkansas,,2021-03-14,579157
Arkansas,,2021-03-15,586266
Arkansas,,2021-03-16,589436
Arkansas,,2021-03-17,602085
Arkansas,,2021-03-18,615670
Arkansas,,2021-03-19,635565
Arkansas,,2021-03-20,653550
Arkansas,,2021-03-21,670894
Arkansas,,2021-03-22,677806
Arkansas,,2021-03-23,680549
Arkansas,,2021-03-24,694124
Arkansas,,2021-03-25,710494
Arkansas,,2021-03-26,730820
Arkansas,,2021-03-27,747412
Arkansas,,2021-03-28,763783
Arkansas,,2021-03-29,769106
Arkansas,,2021-03-30,772457
Arkansas,,2021-03-31,788277
Arkansas,,2021-04-01,803744
Arkansas,,2021-04-02,822604
Arkansas,,2021-04-03,855314
Arkansas,,2021-04-04,856162
Arkansas,,2021-04-05,861082
Arkansas,,2021-04-06,867707
Arkansas,,2021-04-07,881099
Arkansas,,2021-04-08,897978
Arkansas,,2021-04-09,911997
Arkansas,,2021-04-10,929582
Arkansas,,2021-04-11,944947
Arkansas,,2021-04-12,950204
Arkansas,,2021-04-13,952900
Arkansas,,2021-04-14,965352
Arkansas,,2021-04-15,978137
Arkansas,,2021-04-16,989656
Arkansas,,2021-04-17,999727
Arkansas,,2021-04-18,1010421
Arkansas,,2021-04-19,1013104
Arkansas,,2021-04-20,1015859
Arkansas,,2021-04-21,1024343
Arkansas,,2021-04-22,1033132
Arkansas,,2021-04-23,1039897
Arkansas,,2021-04-24,1046195
Arkansas,,2021-04-25,1051126
Arkansas,,2021-04-26,1053861
Arkansas,,2021-04-27,1055239
Arkansas,,2021-04-28,1060712
Arkansas,,2021-04-29,1067532
Arkansas,,2021-04-30,1071773
Arkansas,,2021-05-01,1077072
Arkansas,,2021-05-02,1081910
Arkansas,,2021-05-03,1083702
Arkansas,,2021-05-04,1085254
Arkansas,,2021-05-05,1088927
Arkansas,,2021-05-06,1094338
Arkansas,,2021-05-07,1098559
Arkansas,,2021-05-08,1102155
Arkansas,,2021-05-09,1107515
Arkansas,,2021-05-10,1109772
Arkansas,,2021-05-11,1112883
Arkansas,,2021-05-12,1116295
Arkansas,,2021-05-13,1119545
Arkansas,,2021-05-14,1122780
Arkansas,,2021-05-15,1129189
Arkansas,,2021-05-16,1134540
Arkansas,,2021-05-17,1136470
Arkansas,,2021-05-18,1138400
Arkansas,,2021-05-19,1142312
Arkansas,,2021-05-20,1148175
Arkansas,,2021-05-21,1154071
Bureau of Prisons,,2021-01-12,5199
Bureau of Prisons,,2021-01-13,5395
Bureau of Prisons,,2021-01-14,13997
Bureau of Prisons,,2021-01-15,14565
Bureau of Prisons,,2021-01-19,15500
Bureau of Prisons,,2021-01-20,15949
Bureau of Prisons,,2021-01-21,17003
Bureau of Prisons,,2021-01-22,17316
Bureau of Prisons,,2021-01-23,18296
Bureau of Prisons,,2021-01-24,18965
Bureau of Prisons,,2021-01-25,18988
Bureau of Prisons,,2021-01-26,19471
Bureau of Prisons,,2021-01-27,20415
Bureau of Prisons,,2021-01-28,21081
Bureau of Prisons,,2021-01-29,21674
Bureau of Prisons,,2021-01-30,22486
Bureau of Prisons,,2021-01-31,22725
Bureau of Prisons,,2021-02-01,22725
Bureau of Prisons,,2021-02-02,23200
Bureau of Prisons,,2021-02-03,24049
Bureau of Prisons,,2021-02-04,24858
Bureau of Prisons,,2021-02-05,25657
Bureau of Prisons,,2021-02-06,26167
Bureau of Prisons,,2021-02-07,26410
Bureau of Prisons,,2021-02-08,26410
Bureau of Prisons,,2021-02-09,26770
Bureau of Prisons,,2021-02-10,27564
Bureau of Prisons,,2021-02-11,28139
Bureau of Prisons,,2021-02-12,29060
Bureau of Prisons,,2021-02-13,29797
Bureau of Prisons,,2021-02-14,30193
Bureau of Prisons,,2021-02-16,30719
